[0] WaveName,[1] PrefabName,[2] ProcessStartTime,[3] ProcessCount,[4] ProcessIntervalInterval,[5] CompClass,[6] CompClass.ApplyParameters,[7] SpawnMin,6,[9] ProcessEndTime,[10] SpawnDelay,[11] WaveIncreaseRate,[12] StatusOverrides,[13] ExpAdditionPerWave,[14] ExpMultiplierPerWave,[15] ScoreAdditionPerWave,[16] ScoreMultiplierPerWave,[17] DestroyTime,[18] IsClear,[19] PreviewEffectName,[20] SpawneEffectName,[21] FirstProcessSEName,[22] FirstProcessSEVolume
Wave1,Enemy_Normal_Comp,50,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,,,,0.5
Wave1,Enemy_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,5,5,0,1,0.5,"MaxHP:1.0:0;ATK:1.0:0,Speed:1.0:0,DashSpeed:1.0:0",0,0,0,0,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave2,Enemy_Normal_Comp,1,15,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,5,5,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,10,3,0.5,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,10,3,0.5,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,20,10,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,30,1,5,SpawnRectangle,sizex:14;sizey:10,10,10,0,1,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave2,Enemy_Normal_Comp,40,5,0.5,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,40,5,0.5,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Enemy_Normal_Comp,50,10,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,10,0.05,0,FALSE,,,,0.5
Wave2,Boss_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:6;maxDistance:9,1,1,0,1,0.5,"MaxHP:1.25:0;ATK:1.2:0,Speed:1.1:0,DashSpeed:1.1:0",2,0.05,250,0,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave3,Enemy_Sniper_Comp,5,10,2,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Normal_Comp,5,3,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,10,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Normal_Comp,20,1,5,SpawnOval,radiusx:10;radiusy:8,13,13,0,1,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave3,Enemy_Sniper_Comp,30,3,1,SpawnSide,spawnDirection:UpperRight,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,30,3,1,SpawnSide,spawnDirection:LowerLeft,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Normal_Comp,35,2,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,40,3,1,SpawnSide,spawnDirection:UpperLeft,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,40,3,1,SpawnSide,spawnDirection:LowerRight,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Normal_Comp,45,2,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,45,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,50,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,,,,0.5
Wave3,Enemy_Sniper_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,5,5,0,1,0.5,"MaxHP:1.5:0;ATK:1.3:0,Speed:1.3:0,DashSpeed:1.3:0",5,0.1,15,0.1,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave4,Enemy_Sniper_Comp,1,2,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Normal_Comp,5,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave4,Enemy_Normal_Comp,8,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave4,Enemy_Normal_Comp,11,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave4,Enemy_Sniper_Comp,15,2,0.5,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Sniper_Comp,15,2,0.5,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Normal_Comp,20,1,1,SpawnRectangle,sizex:25;sizey:20,30,30,0,1,0.5,"MaxHP:1.9:20;ATK:1.4:0,Speed:0.2:0,DashSpeed:0.2:0",10,0.15,20,0.15,15,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave4,Enemy_Normal_Comp,25,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Sniper_Comp,30,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Sniper_Comp,35,2,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Normal_Comp,40,1,1,SpawnRectangle,sizex:14;sizey:10,8,8,0,1,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave4,Enemy_Sniper_Comp,50,2,0.5,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Enemy_Sniper_Comp,50,2,0.5,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,20,0.15,0,FALSE,,,,0.5
Wave4,Boss_Sniper_Comp,55,1,0.1,SpawnRandomRange,minDistance:6;maxDistance:9,1,1,0,1,0.5,"MaxHP:1.9:0;ATK:1.4:0,Speed:1.35:0,DashSpeed:1.35:0",10,0.15,250,0,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Sniper_Comp,5,5,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,5,1,1,SpawnOval,radiusx:15;radiusy:12,8,8,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Normal_Comp,10,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,15,1,1,SpawnOval,radiusx:15;radiusy:12,8,8,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Sniper_Comp,20,3,0.5,SpawnSide,spawnDirection:UpperRight,1,2,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,20,3,0.5,SpawnSide,spawnDirection:LowerRight,1,2,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,25,3,3,SpawnRectangle,sizex:10;sizey:8,4,4,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Normal_Comp,30,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,40,3,0.5,SpawnSide,spawnDirection:UpperLeft,1,2,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,40,3,0.5,SpawnSide,spawnDirection:LowerLeft,1,2,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Sniper_Comp,45,1,1,SpawnRectangle,sizex:16;sizey:13,6,6,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Sniper_Comp,45,1,1,SpawnOval,radiusx:10;radiusy:8,4,4,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Normal_Comp,50,5,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,,,,0.5
Wave5,Enemy_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,3,3,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave5,Enemy_Sniper_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,3,3,0,1,0.5,"MaxHP:2.3:0;ATK:1.5:0,Speed:1.4:0,DashSpeed:1.4:0",16,0.2,25,0.2,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave6,Enemy_Normal_Comp,5,10,0.75,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,10,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,15,1,1,SpawnRectangle,sizex:10;sizey:8,4,4,0,1,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave6,Enemy_Normal_Comp,20,5,1,SpawnRandom,,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Tank_Comp,25,5,1,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Tank_Comp,25,5,1,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,30,3,1,SpawnSide,spawnDirection:Up,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,30,3,1,SpawnSide,spawnDirection:Down,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Tank_Comp,35,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,40,10,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Tank_Comp,45,1,1,SpawnRectangle,sizex:16;sizey:12,1,1,0,1,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave6,Enemy_Normal_Comp,50,3,1,SpawnSide,spawnDirection:UpperRight,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,50,3,1,SpawnSide,spawnDirection:LowerRight,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,50,3,1,SpawnSide,spawnDirection:UpperLeft,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Enemy_Normal_Comp,50,3,1,SpawnSide,spawnDirection:LowerLeft,2,3,0,0,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,30,0.25,0,FALSE,,,,0.5
Wave6,Boss_Normal_Comp,55,1,0.1,SpawnRandomRange,minDistance:6;maxDistance:9,1,1,0,1,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,250,0.25,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave6,Boss_Sniper_Comp,55,1,0.1,SpawnRandomRange,minDistance:6;maxDistance:9,1,1,0,1,0.5,"MaxHP:2.5:0;ATK:1.6:0,Speed:1.45:0,DashSpeed:1.45:0",23,0.25,250,0.25,0,TRUE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave7,Enemy_Tank_Comp,3,5,0.75,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Normal_Comp,5,5,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Normal_Comp,10,1,1,SpawnRectangle,sizex:23;sizey:17,34,34,0,1,0.5,"MaxHP:2.7:30;ATK:1.7:0,Speed:0.15:0,DashSpeed:1.5:0",27,0.3,35,0.3,17.5,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave7,Enemy_Tank_Comp,15,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Sniper_Comp,20,3,0.75,SpawnSide,spawnDirection:Up,1,2,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Sniper_Comp,20,3,0.75,SpawnSide,spawnDirection:Down,1,2,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Tank_Comp,30,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Sniper_Comp,35,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave7,Enemy_Normal_Comp,40,1,1,SpawnRectangle,sizex:23;sizey:17,34,34,0,1,0.5,"MaxHP:2.7:30;ATK:1.7:0,Speed:0.15:0,DashSpeed:1.5:0",27,0.3,35,0.3,17.5,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave7,Enemy_Tank_Comp,45,3,1,SpawnRandom,,1,1,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Sniper_Comp,50,3,0.75,SpawnSide,spawnDirection:Right,1,2,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Sniper_Comp,50,3,0.75,SpawnSide,spawnDirection:Left,1,2,0,0,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Sniper_Comp,52.5,1,1,SpawnOval,radiusx:10;radiusy:8,6,6,0,1,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,,,,0.5
Wave7,Enemy_Tank_Comp,55,1,0.1,SpawnRandomRange,minDistance:8;maxDistance:14,5,5,0,1,0.5,"MaxHP:2.7:0;ATK:1.7:0,Speed:1.5:0,DashSpeed:1.5:0",27,0.3,35,0.3,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave8,Enemy_Tank_Comp,1,5,0.5,SpawnRandom,,1,1,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
Wave8,Enemy_Normal_Comp,5,5,0.1,SpawnSide,spawnDirection:Up,1,1,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
Wave8,Enemy_Normal_Comp,5,5,0.1,SpawnSide,spawnDirection:Down,1,1,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
Wave8,Enemy_Normal_Comp,5,5,0.1,SpawnSide,spawnDirection:Right,1,1,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
Wave8,Enemy_Normal_Comp,5,5,0.1,SpawnSide,spawnDirection:Left,1,1,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
Wave8,Enemy_Sniper_Comp,10,5,0.5,SpawnRandom,,1,2,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
Wave8,Enemy_Tank_Comp,15,1,0.5,SpawnRectangle,sizex:15;sizey:12,1,1,0,1,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,GenerationNotice,SpawnLanding,SpawnNotice,0.5
Wave8,Enemy_Normal_Comp,20,10,1,SpawnRandom,,1,2,0,0,0.5,"MaxHP:3.0:0;ATK:1.8:0,Speed:1.55:0,DashSpeed:1.55:0",31,0.35,40,0.35,0,FALSE,,,,0.5
